Reference area,TIME_PERIOD,OBS_VALUE
Canada,2022,9.2
Canada,2015,12.3
Peru,2017,1.3
Peru,2018,1.7
Denmark,2017,9.8
Denmark,2018,9.7
Estonia,2021,14
Estonia,2022,14.3
Estonia,2015,14.8
Estonia,2016,13.9
Estonia,2017,17.2
Estonia,2018,14.8
Estonia,2019,14.5
Peru,2015,0.9
Peru,2016,1.4
Poland,2017,11.7
Poland,2018,11.6
Poland,2019,11.9
Poland,2020,11.9
Poland,2021,12
Poland,2015,14.1
Sweden,2021,11.8
Sweden,2022,12
Sweden,2015,12
Sweden,2016,11.4
Sweden,2017,11.8
Sweden,2018,12.5
Sweden,2019,12.7
Sweden,2020,11.6
Brazil,2015,6
Brazil,2016,6.1
Brazil,2017,6.5
Brazil,2018,6.5
Brazil,2019,6.7
Peru,2019,1.7
Peru,2020,1.8
Denmark,2015,9.9
Denmark,2016,10.1
Denmark,2017,10.1
Denmark,2018,10.1
Denmark,2019,10.4
Denmark,2020,9.9
Denmark,2021,9
Russia,2015,17.1
Russia,2019,11.7
Iceland,2021,10.2
Iceland,2022,9
Iceland,2015,12.4
Iceland,2016,12.2
Iceland,2017,9.8
Iceland,2018,9.8
Iceland,2019,11.2
Iceland,2020,12.7
Colombia,2016,5.5
Colombia,2017,5.9
Colombia,2018,6.2
Colombia,2019,6.1
Colombia,2020,5.7
Colombia,2015,5.4
Colombia,2021,6.2
Colombia,2019,5.9
Colombia,2020,5.5
Colombia,2015,5.1
Colombia,2016,5.3
Colombia,2017,5.7
Colombia,2021,6
Colombia,2018,5.9
Luxembourg,2021,6.1
Luxembourg,2022,8.7
Luxembourg,2015,12.4
Luxembourg,2016,8.2
Luxembourg,2017,9.9
Luxembourg,2018,9.2
Luxembourg,2019,12.2
Luxembourg,2020,10.6
Slovak Republic,2016,7.2
Slovak Republic,2017,6.9
Slovak Republic,2018,7.6
Slovak Republic,2019,6.7
Estonia,2020,15.8
Poland,2016,12.2
Latvia,2015,18.6
Latvia,2016,17.7
Latvia,2017,17.3
Latvia,2018,14.7
Latvia,2019,14.4
Latvia,2020,14.9
Latvia,2021,12.7
South Africa,2017,0.7
South Africa,2018,0.5
South Africa,2015,0.9
South Africa,2016,0.8
Switzerland,2015,12.9
Switzerland,2016,12.1
Switzerland,2017,12.3
Switzerland,2018,11.8
Switzerland,2019,11.9
Switzerland,2020,11.3
Switzerland,2021,11.5
Estonia,2017,16.5
Estonia,2018,14
Costa Rica,2017,5.7
Costa Rica,2018,7.8
Costa Rica,2019,7.6
Costa Rica,2020,6.9
Costa Rica,2015,6.5
Korea,2017,23.8
Costa Rica,2016,6.9
Korea,2018,25.5
Korea,2019,25.4
Korea,2020,24.1
Korea,2021,24.3
Korea,2015,26.8
Korea,2016,25.5
Estonia,2019,14.1
Estonia,2020,15.1
Estonia,2021,13.6
Estonia,2022,13.8
Estonia,2015,14.5
Estonia,2016,13.3
Bulgaria,2015,8.7
Bulgaria,2016,8.6
Bulgaria,2017,8.9
Bulgaria,2018,8.3
Bulgaria,2019,7.4
Bulgaria,2020,7.6
Bulgaria,2021,7.3
Australia,2016,12.2
Australia,2017,13.6
Australia,2018,13.1
Australia,2020,12.6
Australia,2021,12.5
Australia,2022,12.7
Australia,2019,13.5
Australia,2015,13.2
Italy,2015,5.9
Italy,2016,5.7
Italy,2017,5.8
Italy,2018,5.6
Italy,2019,5.5
Italy,2020,5.4
France,2016,12.6
France,2017,12.3
France,2015,13.5
France,2018,13
France,2019,12.8
France,2020,13
Belgium,2020,14.6
Belgium,2015,16.2
Belgium,2016,16.3
Belgium,2017,14.8
Belgium,2018,15.3
Belgium,2019,14.6
Spain,2015,7.8
Spain,2016,7.7
Spain,2017,7.9
Spain,2018,7.6
Spain,2019,7.8
Spain,2020,8.3
Spain,2021,8.5
Korea,2016,25.6
Korea,2017,24.3
Korea,2018,26.5
Korea,2019,26.7
Korea,2020,25.5
Korea,2021,25.8
Korea,2015,26.5
Croatia,2015,17.6
Croatia,2016,16.4
Croatia,2017,15.3
Brazil,2020,6.9
Brazil,2021,7.6
Croatia,2020,13.7
Croatia,2021,15
Lithuania,2021,18.5
Lithuania,2022,17.1
TÃ¼rkiye,2018,4.4
TÃ¼rkiye,2019,4.4
TÃ¼rkiye,2016,2.6
TÃ¼rkiye,2015,2.2
TÃ¼rkiye,2017,3.7
Lithuania,2015,29.6
Lithuania,2016,27.3
Lithuania,2017,25
Lithuania,2018,22.9
Lithuania,2019,22.2
Lithuania,2020,20.3
South Africa,2015,0.9
South Africa,2016,0.8
South Africa,2017,0.7
South Africa,2018,0.5
Mexico,2015,5.2
Mexico,2016,5.1
Mexico,2017,5.2
Mexico,2018,5.4
Mexico,2019,5.6
Mexico,2020,6.1
Mexico,2021,6.5
Germany,2015,10.9
Germany,2016,10.6
Germany,2017,9.9
Germany,2018,10
Germany,2019,9.6
Germany,2020,9.7
Hungary,2022,15.7
Hungary,2015,18
Hungary,2016,16.9
Hungary,2017,15.7
Hungary,2018,15.9
Hungary,2019,14.8
Hungary,2020,16.1
Hungary,2021,14.9
TÃ¼rkiye,2016,2.3
TÃ¼rkiye,2017,3.4
TÃ¼rkiye,2018,4.1
TÃ¼rkiye,2019,4.1
TÃ¼rkiye,2015,2
Iceland,2017,9.9
Iceland,2018,9.6
Iceland,2019,10.8
Iceland,2020,12.8
Iceland,2021,10.2
Iceland,2022,8.6
Iceland,2015,12.1
Iceland,2016,11.9
Ireland,2015,9.1
Ireland,2016,9.2
Ireland,2017,8
Ireland,2018,9
Ireland,2019,7.9
Ireland,2020,9.3
Austria,2015,13.4
Austria,2016,12.7
Austria,2017,12.8
Austria,2018,12.5
Austria,2019,11.4
Austria,2020,10.8
Austria,2021,11
Argentina,2015,7.2
Argentina,2016,7
Argentina,2017,7.3
Argentina,2018,7.4
Argentina,2019,7.3
Argentina,2020,6.3
Argentina,2021,6.2
Netherlands,2021,10.6
Netherlands,2022,10.8
Netherlands,2015,11
Netherlands,2016,11.1
Netherlands,2017,11.2
Netherlands,2018,10.6
Netherlands,2019,10.4
Netherlands,2020,10.5
Canada,2021,9.7
Canada,2022,9
Canada,2015,12.1
Canada,2016,10.8
Canada,2017,11.2
Canada,2018,12.1
Canada,2019,11.9
Canada,2020,10.7
Mexico,2016,5.4
Mexico,2017,5.5
Mexico,2018,5.6
Mexico,2019,5.8
Mexico,2020,6.3
Mexico,2021,6.6
Mexico,2015,5.5
Greece,2018,5.3
Slovak Republic,2020,6.5
Slovak Republic,2021,7
Greece,2015,4.9
Greece,2016,4.5
Greece,2017,4.9
Costa Rica,2015,6.9
Costa Rica,2016,7.2
Costa Rica,2017,5.8
Costa Rica,2018,8.1
Costa Rica,2019,7.9
Costa Rica,2020,7.1
Israel,2016,4.6
Israel,2017,4.6
Israel,2018,5.1
Israel,2019,4.7
Israel,2020,4.7
Israel,2021,4.2
Israel,2015,4.1
Slovak Republic,2016,6.9
Slovak Republic,2017,6.7
Slovak Republic,2018,7.4
Slovak Republic,2019,6.6
Slovak Republic,2020,6.3
Slovak Republic,2021,6.9
Portugal,2015,10.9
Portugal,2016,9.5
Portugal,2017,10.3
Portugal,2018,9.6
Portugal,2019,9.6
Latvia,2016,18.6
Latvia,2017,18.2
Latvia,2018,15.5
Latvia,2019,15
Latvia,2020,15.7
Latvia,2021,13.4
Latvia,2015,19.5
Italy,2015,6.6
Italy,2016,6.4
Italy,2017,6.6
Italy,2018,6.3
Italy,2019,6.2
Italy,2020,6.2
Luxembourg,2017,8.7
Luxembourg,2018,8.2
Luxembourg,2019,10.9
Luxembourg,2020,9.4
Luxembourg,2021,5.4
Luxembourg,2022,7.6
Luxembourg,2015,11.5
Luxembourg,2016,7.5
Russia,2015,17.4
Russia,2019,11.7
United States,2015,14.1
United States,2016,14.2
United States,2017,14.7
