Reference area,TIME_PERIOD,OBS_VALUE
Greece,2019,4.6
Greece,2018,4.9
Peru,2018,1.7
Peru,2017,1.3
Ireland,2015,9.4
United Kingdom,2020,8.4
Russia,2019,11.7
Russia,2015,17.1
Iceland,2018,9.8
Iceland,2017,9.8
Iceland,2016,12.2
Iceland,2015,12.4
Iceland,2022,9
Peru,2020,1.8
Peru,2019,1.7
Iceland,2019,11.2
Brazil,2017,6.5
Brazil,2016,6.1
Brazil,2015,6
Brazil,2021,7.6
Brazil,2020,6.9
Brazil,2019,6.7
Brazil,2018,6.5
Colombia,2015,5.4
Colombia,2021,6.2
Colombia,2019,6.1
Colombia,2018,6.2
Colombia,2017,5.9
Colombia,2016,5.5
Colombia,2020,5.7
Latvia,2018,14.7
Latvia,2017,17.3
Latvia,2016,17.7
Latvia,2015,18.6
Peru,2016,1.4
Peru,2015,0.9
Latvia,2019,14.4
Estonia,2018,14
Estonia,2017,16.5
Korea,2017,23.8
Korea,2016,25.5
Korea,2015,26.8
Korea,2021,24.3
Korea,2020,24.1
Korea,2019,25.4
Korea,2018,25.5
Estonia,2016,13.3
Estonia,2015,14.5
Estonia,2022,13.8
Estonia,2021,13.6
Estonia,2020,15.1
Estonia,2019,14.1
Bulgaria,2019,7.4
Bulgaria,2018,8.3
Bulgaria,2017,8.9
Bulgaria,2016,8.6
Bulgaria,2015,8.7
Bulgaria,2021,7.3
Bulgaria,2020,7.6
Australia,2017,13.6
Australia,2016,12.2
Australia,2015,13.2
Australia,2022,12.7
Australia,2019,13.5
Australia,2018,13.1
Australia,2020,12.6
Australia,2021,12.5
Italy,2020,5.4
Italy,2019,5.5
Italy,2018,5.6
Italy,2017,5.8
Italy,2016,5.7
Italy,2015,5.9
Belgium,2018,15.3
Belgium,2020,14.6
Belgium,2019,14.6
Belgium,2016,16.3
Belgium,2015,16.2
Iceland,2021,10.2
Iceland,2020,12.7
Lithuania,2016,27.3
TÃ¼rkiye,2018,4.4
TÃ¼rkiye,2017,3.7
TÃ¼rkiye,2015,2.2
TÃ¼rkiye,2016,2.6
TÃ¼rkiye,2019,4.4
Lithuania,2015,29.6
Lithuania,2022,17.1
Lithuania,2021,18.5
Lithuania,2020,20.3
Lithuania,2019,22.2
Lithuania,2018,22.9
Germany,2020,9.7
Germany,2019,9.6
Germany,2018,10
Germany,2017,9.9
Germany,2016,10.6
Germany,2015,10.9
South Africa,2018,0.5
South Africa,2017,0.7
South Africa,2016,0.8
South Africa,2015,0.9
Hungary,2016,16.9
Hungary,2015,18
Hungary,2022,15.7
Hungary,2021,14.9
Hungary,2019,14.8
Hungary,2018,15.9
Hungary,2020,16.1
Hungary,2017,15.7
Austria,2019,11.4
Austria,2018,12.5
Austria,2017,12.8
Austria,2016,12.7
