Reference area,TIME_PERIOD,OBS_VALUE
Australia,2021,0.19
Australia,2020,0.18
Australia,2019,0.18
Iceland,2020,0.2
Iceland,2019,0.21
Portugal,2018,0.13
Portugal,2017,0.13
Portugal,2016,0.12
Iceland,2017,0.24
Latvia,2021,0.15
Latvia,2020,0.15
Latvia,2019,0.16
Latvia,2018,0.16
Latvia,2017,0.15
Latvia,2016,0.16
Latvia,2015,0.16
Latvia,2022,0.15
Iceland,2015,0.23
Iceland,2023,0.2
Iceland,2021,0.2
Switzerland,2018,0.52
Switzerland,2017,0.52
Switzerland,2016,0.51
Switzerland,2015,0.5
Switzerland,2022,0.53
Ireland,2023,0.23
Ireland,2016,0.18
Ireland,2015,0.16
Ireland,2021,0.19
Ireland,2020,0.21
Ireland,2019,0.19
Ireland,2018,0.17
Ireland,2022,0.22
Ireland,2017,0.18
Finland,2015,0.19
Finland,2019,0.19
Finland,2018,0.18
Finland,2017,0.19
Finland,2016,0.19
Finland,2021,0.18
Finland,2020,0.18
Israel,2021,0.16
Israel,2020,0.16
Israel,2019,0.16
Iceland,2018,0.24
Iceland,2022,0.21
Iceland,2016,0.26
Israel,2016,0.16
Israel,2015,0.17
United Kingdom,2023,0.2
United Kingdom,2022,0.2
United Kingdom,2021,0.2
Korea,2018,0.08
Korea,2017,0.08
Korea,2016,0.07
Korea,2015,0.07
Korea,2022,0.09
Korea,2021,0.09
Korea,2020,0.08
Korea,2019,0.08
United Kingdom,2020,0.19
United Kingdom,2019,0.18
United Kingdom,2018,0.18
United Kingdom,2017,0.18
United Kingdom,2016,0.18
United Kingdom,2015,0.18
New Zealand,2023,0.22
New Zealand,2022,0.21
New Zealand,2021,0.2
New Zealand,2019,0.19
New Zealand,2018,0.19
New Zealand,2017,0.19
New Zealand,2015,0.18
New Zealand,2020,0.2
New Zealand,2016,0.18
Czechia,2021,0.17
Czechia,2022,0.17
Czechia,2019,0.16
Czechia,2020,0.15
Belgium,2017,0.17
Belgium,2022,0.17
Belgium,2021,0.17
Belgium,2016,0.17
Belgium,2015,0.17
Belgium,2019,0.17
Belgium,2018,0.17
Belgium,2020,0.17
Norway,2016,0.23
Norway,2023,0.24
Norway,2022,0.24
Norway,2021,0.23
Norway,2018,0.23
Norway,2020,0.23
Norway,2019,0.23
Norway,2015,0.22
Norway,2017,0.23
Australia,2016,0.17
Australia,2022,0.19
Australia,2015,0.16
Switzerland,2021,0.53
Switzerland,2020,0.53
Switzerland,2019,0.52
Australia,2018,0.17
Australia,2017,0.17
Luxembourg,2017,0.21
Luxembourg,2016,0.22
Luxembourg,2015,0.22
Mexico,2021,0.01
Mexico,2020,0.01
Mexico,2019,0.01
Mexico,2018,0.01
Mexico,2017,0.01
Mexico,2016,0.01
Mexico,2015,0.01
Mexico,2022,0.01
Denmark,2018,0.19
Denmark,2020,0.19
Denmark,2017,0.19
Denmark,2016,0.19
